﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/09/2026 - 00:00:00";"08/09/2026 - 00:15:00";"0.017100";"kWh";"W";
"08/09/2026 - 00:15:00";"08/09/2026 - 00:30:00";"0.023200";"kWh";"W";
"08/09/2026 - 00:30:00";"08/09/2026 - 00:45:00";"0.023600";"kWh";"W";
"08/09/2026 - 00:45:00";"08/09/2026 - 01:00:00";"0.023400";"kWh";"W";
"08/09/2026 - 01:00:00";"08/09/2026 - 01:15:00";"0.023000";"kWh";"W";
"08/09/2026 - 01:15:00";"08/09/2026 - 01:30:00";"0.022500";"kWh";"W";
"08/09/2026 - 01:30:00";"08/09/2026 - 01:45:00";"0.022700";"kWh";"W";
"08/09/2026 - 01:45:00";"08/09/2026 - 02:00:00";"0.023000";"kWh";"W";
"08/09/2026 - 02:00:00";"08/09/2026 - 02:15:00";"0.023200";"kWh";"W";
"08/09/2026 - 02:15:00";"08/09/2026 - 02:30:00";"0.023300";"kWh";"W";
"08/09/2026 - 02:30:00";"08/09/2026 - 02:45:00";"0.023800";"kWh";"W";
"08/09/2026 - 02:45:00";"08/09/2026 - 03:00:00";"0.023500";"kWh";"W";
"08/09/2026 - 03:00:00";"08/09/2026 - 03:15:00";"0.025900";"kWh";"W";
"08/09/2026 - 03:15:00";"08/09/2026 - 03:30:00";"0.023400";"kWh";"W";
"08/09/2026 - 03:30:00";"08/09/2026 - 03:45:00";"0.018700";"kWh";"W";
"08/09/2026 - 03:45:00";"08/09/2026 - 04:00:00";"0.023600";"kWh";"W";
"08/09/2026 - 04:00:00";"08/09/2026 - 04:15:00";"0.023700";"kWh";"W";
"08/09/2026 - 04:15:00";"08/09/2026 - 04:30:00";"0.023200";"kWh";"W";
"08/09/2026 - 04:30:00";"08/09/2026 - 04:45:00";"0.023300";"kWh";"W";
"08/09/2026 - 04:45:00";"08/09/2026 - 05:00:00";"0.023100";"kWh";"W";
"08/09/2026 - 05:00:00";"08/09/2026 - 05:15:00";"0.022900";"kWh";"W";
"08/09/2026 - 05:15:00";"08/09/2026 - 05:30:00";"0.022800";"kWh";"W";
"08/09/2026 - 05:30:00";"08/09/2026 - 05:45:00";"0.018300";"kWh";"W";
"08/09/2026 - 05:45:00";"08/09/2026 - 06:00:00";"0.018600";"kWh";"W";
"08/09/2026 - 06:00:00";"08/09/2026 - 06:15:00";"0.021100";"kWh";"W";
"08/09/2026 - 06:15:00";"08/09/2026 - 06:30:00";"0.015600";"kWh";"W";
"08/09/2026 - 06:30:00";"08/09/2026 - 06:45:00";"0.007100";"kWh";"W";
"08/09/2026 - 06:45:00";"08/09/2026 - 07:00:00";"0.004800";"kWh";"W";
"08/09/2026 - 07:00:00";"08/09/2026 - 07:15:00";"0.000900";"kWh";"W";
"08/09/2026 - 07:15:00";"08/09/2026 - 07:30:00";"0.000000";"kWh";"W";
"08/09/2026 - 07:30:00";"08/09/2026 - 07:45:00";"0.000000";"kWh";"W";
"08/09/2026 - 07:45:00";"08/09/2026 - 08:00:00";"0.000000";"kWh";"W";
"08/09/2026 - 08:00:00";"08/09/2026 - 08:15:00";"0.001000";"kWh";"W";
"08/09/2026 - 08:15:00";"08/09/2026 - 08:30:00";"0.000300";"kWh";"W";
"08/09/2026 - 08:30:00";"08/09/2026 - 08:45:00";"0.000000";"kWh";"W";
"08/09/2026 - 08:45:00";"08/09/2026 - 09:00:00";"0.000000";"kWh";"W";
"08/09/2026 - 09:00:00";"08/09/2026 - 09:15:00";"0.000000";"kWh";"W";
"08/09/2026 - 09:15:00";"08/09/2026 - 09:30:00";"0.000000";"kWh";"W";
"08/09/2026 - 09:30:00";"08/09/2026 - 09:45:00";"0.000000";"kWh";"W";
"08/09/2026 - 09:45:00";"08/09/2026 - 10:00:00";"0.000000";"kWh";"W";
"08/09/2026 - 10:00:00";"08/09/2026 - 10:15:00";"0.000000";"kWh";"W";
"08/09/2026 - 10:15:00";"08/09/2026 - 10:30:00";"0.000000";"kWh";"W";
"08/09/2026 - 10:30:00";"08/09/2026 - 10:45:00";"0.000000";"kWh";"W";
"08/09/2026 - 10:45:00";"08/09/2026 - 11:00:00";"0.000000";"kWh";"W";
"08/09/2026 - 11:00:00";"08/09/2026 - 11:15:00";"0.000000";"kWh";"W";
"08/09/2026 - 11:15:00";"08/09/2026 - 11:30:00";"0.000000";"kWh";"W";
