﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/08/2026 - 00:00:00";"08/08/2026 - 00:15:00";"0.030600";"kWh";"W";
"08/08/2026 - 00:15:00";"08/08/2026 - 00:30:00";"0.037500";"kWh";"W";
"08/08/2026 - 00:30:00";"08/08/2026 - 00:45:00";"0.033900";"kWh";"W";
"08/08/2026 - 00:45:00";"08/08/2026 - 01:00:00";"0.030200";"kWh";"W";
"08/08/2026 - 01:00:00";"08/08/2026 - 01:15:00";"0.029800";"kWh";"W";
"08/08/2026 - 01:15:00";"08/08/2026 - 01:30:00";"0.029900";"kWh";"W";
"08/08/2026 - 01:30:00";"08/08/2026 - 01:45:00";"0.029400";"kWh";"W";
"08/08/2026 - 01:45:00";"08/08/2026 - 02:00:00";"0.028900";"kWh";"W";
"08/08/2026 - 02:00:00";"08/08/2026 - 02:15:00";"0.028500";"kWh";"W";
"08/08/2026 - 02:15:00";"08/08/2026 - 02:30:00";"0.029000";"kWh";"W";
"08/08/2026 - 02:30:00";"08/08/2026 - 02:45:00";"0.028700";"kWh";"W";
"08/08/2026 - 02:45:00";"08/08/2026 - 03:00:00";"0.033400";"kWh";"W";
"08/08/2026 - 03:00:00";"08/08/2026 - 03:15:00";"0.036700";"kWh";"W";
"08/08/2026 - 03:15:00";"08/08/2026 - 03:30:00";"0.038600";"kWh";"W";
"08/08/2026 - 03:30:00";"08/08/2026 - 03:45:00";"0.036800";"kWh";"W";
"08/08/2026 - 03:45:00";"08/08/2026 - 04:00:00";"0.027000";"kWh";"W";
"08/08/2026 - 04:00:00";"08/08/2026 - 04:15:00";"0.028100";"kWh";"W";
"08/08/2026 - 04:15:00";"08/08/2026 - 04:30:00";"0.028500";"kWh";"W";
"08/08/2026 - 04:30:00";"08/08/2026 - 04:45:00";"0.028100";"kWh";"W";
"08/08/2026 - 04:45:00";"08/08/2026 - 05:00:00";"0.027900";"kWh";"W";
"08/08/2026 - 05:00:00";"08/08/2026 - 05:15:00";"0.027800";"kWh";"W";
"08/08/2026 - 05:15:00";"08/08/2026 - 05:30:00";"0.027600";"kWh";"W";
"08/08/2026 - 05:30:00";"08/08/2026 - 05:45:00";"0.040700";"kWh";"W";
"08/08/2026 - 05:45:00";"08/08/2026 - 06:00:00";"0.026200";"kWh";"W";
"08/08/2026 - 06:00:00";"08/08/2026 - 06:15:00";"0.025200";"kWh";"W";
"08/08/2026 - 06:15:00";"08/08/2026 - 06:30:00";"0.018800";"kWh";"W";
"08/08/2026 - 06:30:00";"08/08/2026 - 06:45:00";"0.009400";"kWh";"W";
"08/08/2026 - 06:45:00";"08/08/2026 - 07:00:00";"0.008800";"kWh";"W";
"08/08/2026 - 07:00:00";"08/08/2026 - 07:15:00";"0.137800";"kWh";"W";
