﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/02/2026 - 00:00:00";"08/02/2026 - 00:15:00";"0.064500";"kWh";"W";
"08/02/2026 - 00:15:00";"08/02/2026 - 00:30:00";"0.043000";"kWh";"W";
"08/02/2026 - 00:30:00";"08/02/2026 - 00:45:00";"0.032600";"kWh";"W";
"08/02/2026 - 00:45:00";"08/02/2026 - 01:00:00";"0.032600";"kWh";"W";
"08/02/2026 - 01:00:00";"08/02/2026 - 01:15:00";"0.032400";"kWh";"W";
"08/02/2026 - 01:15:00";"08/02/2026 - 01:30:00";"0.032500";"kWh";"W";
"08/02/2026 - 01:30:00";"08/02/2026 - 01:45:00";"0.031100";"kWh";"W";
"08/02/2026 - 01:45:00";"08/02/2026 - 02:00:00";"0.031900";"kWh";"W";
"08/02/2026 - 02:00:00";"08/02/2026 - 02:15:00";"0.032000";"kWh";"W";
"08/02/2026 - 02:15:00";"08/02/2026 - 02:30:00";"0.048200";"kWh";"W";
"08/02/2026 - 02:30:00";"08/02/2026 - 02:45:00";"0.031700";"kWh";"W";
"08/02/2026 - 02:45:00";"08/02/2026 - 03:00:00";"0.031400";"kWh";"W";
"08/02/2026 - 03:00:00";"08/02/2026 - 03:15:00";"0.030400";"kWh";"W";
"08/02/2026 - 03:15:00";"08/02/2026 - 03:30:00";"0.033300";"kWh";"W";
"08/02/2026 - 03:30:00";"08/02/2026 - 03:45:00";"0.038900";"kWh";"W";
"08/02/2026 - 03:45:00";"08/02/2026 - 04:00:00";"0.039800";"kWh";"W";
"08/02/2026 - 04:00:00";"08/02/2026 - 04:15:00";"0.038800";"kWh";"W";
"08/02/2026 - 04:15:00";"08/02/2026 - 04:30:00";"0.023600";"kWh";"W";
"08/02/2026 - 04:30:00";"08/02/2026 - 04:45:00";"0.028900";"kWh";"W";
"08/02/2026 - 04:45:00";"08/02/2026 - 05:00:00";"0.045000";"kWh";"W";
"08/02/2026 - 05:00:00";"08/02/2026 - 05:15:00";"0.032100";"kWh";"W";
"08/02/2026 - 05:15:00";"08/02/2026 - 05:30:00";"0.030600";"kWh";"W";
