﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/04/2026 - 00:00:00";"08/04/2026 - 00:15:00";"0.031300";"kWh";"W";
"08/04/2026 - 00:15:00";"08/04/2026 - 00:30:00";"0.029900";"kWh";"W";
"08/04/2026 - 00:30:00";"08/04/2026 - 00:45:00";"0.029100";"kWh";"W";
"08/04/2026 - 00:45:00";"08/04/2026 - 01:00:00";"0.029100";"kWh";"W";
"08/04/2026 - 01:00:00";"08/04/2026 - 01:15:00";"0.028900";"kWh";"W";
"08/04/2026 - 01:15:00";"08/04/2026 - 01:30:00";"0.029300";"kWh";"W";
"08/04/2026 - 01:30:00";"08/04/2026 - 01:45:00";"0.029200";"kWh";"W";
"08/04/2026 - 01:45:00";"08/04/2026 - 02:00:00";"0.028800";"kWh";"W";
"08/04/2026 - 02:00:00";"08/04/2026 - 02:15:00";"0.027900";"kWh";"W";
"08/04/2026 - 02:15:00";"08/04/2026 - 02:30:00";"0.029100";"kWh";"W";
"08/04/2026 - 02:30:00";"08/04/2026 - 02:45:00";"0.029000";"kWh";"W";
"08/04/2026 - 02:45:00";"08/04/2026 - 03:00:00";"0.028500";"kWh";"W";
"08/04/2026 - 03:00:00";"08/04/2026 - 03:15:00";"0.032800";"kWh";"W";
"08/04/2026 - 03:15:00";"08/04/2026 - 03:30:00";"0.036200";"kWh";"W";
"08/04/2026 - 03:30:00";"08/04/2026 - 03:45:00";"0.035900";"kWh";"W";
"08/04/2026 - 03:45:00";"08/04/2026 - 04:00:00";"0.036500";"kWh";"W";
"08/04/2026 - 04:00:00";"08/04/2026 - 04:15:00";"0.037900";"kWh";"W";
"08/04/2026 - 04:15:00";"08/04/2026 - 04:30:00";"0.027800";"kWh";"W";
"08/04/2026 - 04:30:00";"08/04/2026 - 04:45:00";"0.022700";"kWh";"W";
"08/04/2026 - 04:45:00";"08/04/2026 - 05:00:00";"0.028000";"kWh";"W";
"08/04/2026 - 05:00:00";"08/04/2026 - 05:15:00";"0.028200";"kWh";"W";
"08/04/2026 - 05:15:00";"08/04/2026 - 05:30:00";"0.027700";"kWh";"W";
"08/04/2026 - 05:30:00";"08/04/2026 - 05:45:00";"0.024000";"kWh";"W";
"08/04/2026 - 05:45:00";"08/04/2026 - 06:00:00";"0.022300";"kWh";"W";
"08/04/2026 - 06:00:00";"08/04/2026 - 06:15:00";"0.024500";"kWh";"W";
"08/04/2026 - 06:15:00";"08/04/2026 - 06:30:00";"0.026500";"kWh";"W";
