﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/05/2026 - 00:00:00";"08/05/2026 - 00:15:00";"0.062900";"kWh";"W";
"08/05/2026 - 00:15:00";"08/05/2026 - 00:30:00";"0.060200";"kWh";"W";
"08/05/2026 - 00:30:00";"08/05/2026 - 00:45:00";"0.058300";"kWh";"W";
"08/05/2026 - 00:45:00";"08/05/2026 - 01:00:00";"0.058100";"kWh";"W";
"08/05/2026 - 01:00:00";"08/05/2026 - 01:15:00";"0.057400";"kWh";"W";
"08/05/2026 - 01:15:00";"08/05/2026 - 01:30:00";"0.055100";"kWh";"W";
"08/05/2026 - 01:30:00";"08/05/2026 - 01:45:00";"0.053000";"kWh";"W";
"08/05/2026 - 01:45:00";"08/05/2026 - 02:00:00";"0.040600";"kWh";"W";
"08/05/2026 - 02:00:00";"08/05/2026 - 02:15:00";"0.045100";"kWh";"W";
"08/05/2026 - 02:15:00";"08/05/2026 - 02:30:00";"0.055300";"kWh";"W";
"08/05/2026 - 02:30:00";"08/05/2026 - 02:45:00";"0.055200";"kWh";"W";
"08/05/2026 - 02:45:00";"08/05/2026 - 03:00:00";"0.051900";"kWh";"W";
"08/05/2026 - 03:00:00";"08/05/2026 - 03:15:00";"0.032700";"kWh";"W";
"08/05/2026 - 03:15:00";"08/05/2026 - 03:30:00";"0.049700";"kWh";"W";
"08/05/2026 - 03:30:00";"08/05/2026 - 03:45:00";"0.050800";"kWh";"W";
"08/05/2026 - 03:45:00";"08/05/2026 - 04:00:00";"0.049600";"kWh";"W";
"08/05/2026 - 04:00:00";"08/05/2026 - 04:15:00";"0.044000";"kWh";"W";
"08/05/2026 - 04:15:00";"08/05/2026 - 04:30:00";"0.036800";"kWh";"W";
"08/05/2026 - 04:30:00";"08/05/2026 - 04:45:00";"0.050900";"kWh";"W";
"08/05/2026 - 04:45:00";"08/05/2026 - 05:00:00";"0.050600";"kWh";"W";
"08/05/2026 - 05:00:00";"08/05/2026 - 05:15:00";"0.048600";"kWh";"W";
"08/05/2026 - 05:15:00";"08/05/2026 - 05:30:00";"0.033400";"kWh";"W";
"08/05/2026 - 05:30:00";"08/05/2026 - 05:45:00";"0.049800";"kWh";"W";
"08/05/2026 - 05:45:00";"08/05/2026 - 06:00:00";"0.050500";"kWh";"W";
"08/05/2026 - 06:00:00";"08/05/2026 - 06:15:00";"0.046500";"kWh";"W";
"08/05/2026 - 06:15:00";"08/05/2026 - 06:30:00";"0.033400";"kWh";"W";
"08/05/2026 - 06:30:00";"08/05/2026 - 06:45:00";"0.040200";"kWh";"W";
"08/05/2026 - 06:45:00";"08/05/2026 - 07:00:00";"0.039600";"kWh";"W";
"08/05/2026 - 07:00:00";"08/05/2026 - 07:15:00";"0.037500";"kWh";"W";
"08/05/2026 - 07:15:00";"08/05/2026 - 07:30:00";"0.040300";"kWh";"W";
"08/05/2026 - 07:30:00";"08/05/2026 - 07:45:00";"0.038700";"kWh";"W";
"08/05/2026 - 07:45:00";"08/05/2026 - 08:00:00";"0.008600";"kWh";"W";
"08/05/2026 - 08:00:00";"08/05/2026 - 08:15:00";"0.001700";"kWh";"W";
"08/05/2026 - 08:15:00";"08/05/2026 - 08:30:00";"0.003600";"kWh";"W";
"08/05/2026 - 08:30:00";"08/05/2026 - 08:45:00";"0.000000";"kWh";"W";
"08/05/2026 - 08:45:00";"08/05/2026 - 09:00:00";"0.000000";"kWh";"W";
"08/05/2026 - 09:00:00";"08/05/2026 - 09:15:00";"0.000100";"kWh";"W";
"08/05/2026 - 09:15:00";"08/05/2026 - 09:30:00";"0.105800";"kWh";"W";
"08/05/2026 - 09:30:00";"08/05/2026 - 09:45:00";"0.208400";"kWh";"W";
"08/05/2026 - 09:45:00";"08/05/2026 - 10:00:00";"0.143300";"kWh";"W";
"08/05/2026 - 10:00:00";"08/05/2026 - 10:15:00";"0.077100";"kWh";"W";
"08/05/2026 - 10:15:00";"08/05/2026 - 10:30:00";"0.016100";"kWh";"W";
"08/05/2026 - 10:30:00";"08/05/2026 - 10:45:00";"0.000400";"kWh";"W";
"08/05/2026 - 10:45:00";"08/05/2026 - 11:00:00";"0.000000";"kWh";"W";
"08/05/2026 - 11:00:00";"08/05/2026 - 11:15:00";"0.062800";"kWh";"W";
"08/05/2026 - 11:15:00";"08/05/2026 - 11:30:00";"0.115700";"kWh";"W";
"08/05/2026 - 11:30:00";"08/05/2026 - 11:45:00";"0.533100";"kWh";"W";
"08/05/2026 - 11:45:00";"08/05/2026 - 12:00:00";"0.804800";"kWh";"W";
"08/05/2026 - 12:00:00";"08/05/2026 - 12:15:00";"0.956600";"kWh";"W";
"08/05/2026 - 12:15:00";"08/05/2026 - 12:30:00";"0.407400";"kWh";"W";
"08/05/2026 - 12:30:00";"08/05/2026 - 12:45:00";"0.225900";"kWh";"W";
"08/05/2026 - 12:45:00";"08/05/2026 - 13:00:00";"0.030500";"kWh";"W";
"08/05/2026 - 13:00:00";"08/05/2026 - 13:15:00";"0.023800";"kWh";"W";
"08/05/2026 - 13:15:00";"08/05/2026 - 13:30:00";"0.220500";"kWh";"W";
"08/05/2026 - 13:30:00";"08/05/2026 - 13:45:00";"0.016300";"kWh";"W";
"08/05/2026 - 13:45:00";"08/05/2026 - 14:00:00";"0.011000";"kWh";"W";
"08/05/2026 - 14:00:00";"08/05/2026 - 14:15:00";"0.008000";"kWh";"W";
"08/05/2026 - 14:15:00";"08/05/2026 - 14:30:00";"0.008900";"kWh";"W";
"08/05/2026 - 14:30:00";"08/05/2026 - 14:45:00";"0.021100";"kWh";"W";
"08/05/2026 - 14:45:00";"08/05/2026 - 15:00:00";"0.017800";"kWh";"W";
"08/05/2026 - 15:00:00";"08/05/2026 - 15:15:00";"0.041900";"kWh";"W";
"08/05/2026 - 15:15:00";"08/05/2026 - 15:30:00";"0.020300";"kWh";"W";
"08/05/2026 - 15:30:00";"08/05/2026 - 15:45:00";"0.041500";"kWh";"W";
"08/05/2026 - 15:45:00";"08/05/2026 - 16:00:00";"0.006000";"kWh";"W";
"08/05/2026 - 16:00:00";"08/05/2026 - 16:15:00";"0.014700";"kWh";"W";
"08/05/2026 - 16:15:00";"08/05/2026 - 16:30:00";"0.018500";"kWh";"W";
"08/05/2026 - 16:30:00";"08/05/2026 - 16:45:00";"0.031700";"kWh";"W";
"08/05/2026 - 16:45:00";"08/05/2026 - 17:00:00";"0.038700";"kWh";"W";
"08/05/2026 - 17:00:00";"08/05/2026 - 17:15:00";"0.041400";"kWh";"W";
"08/05/2026 - 17:15:00";"08/05/2026 - 17:30:00";"0.115200";"kWh";"W";
"08/05/2026 - 17:30:00";"08/05/2026 - 17:45:00";"0.343500";"kWh";"W";
"08/05/2026 - 17:45:00";"08/05/2026 - 18:00:00";"0.130800";"kWh";"W";
"08/05/2026 - 18:00:00";"08/05/2026 - 18:15:00";"0.109600";"kWh";"W";
"08/05/2026 - 18:15:00";"08/05/2026 - 18:30:00";"0.147400";"kWh";"W";
"08/05/2026 - 18:30:00";"08/05/2026 - 18:45:00";"0.086100";"kWh";"W";
"08/05/2026 - 18:45:00";"08/05/2026 - 19:00:00";"0.060500";"kWh";"W";
"08/05/2026 - 19:00:00";"08/05/2026 - 19:15:00";"0.064900";"kWh";"W";
"08/05/2026 - 19:15:00";"08/05/2026 - 19:30:00";"0.064000";"kWh";"W";
"08/05/2026 - 19:30:00";"08/05/2026 - 19:45:00";"0.050500";"kWh";"W";
"08/05/2026 - 19:45:00";"08/05/2026 - 20:00:00";"0.058600";"kWh";"W";
"08/05/2026 - 20:00:00";"08/05/2026 - 20:15:00";"0.283200";"kWh";"W";
"08/05/2026 - 20:15:00";"08/05/2026 - 20:30:00";"0.750500";"kWh";"W";
"08/05/2026 - 20:30:00";"08/05/2026 - 20:45:00";"0.633300";"kWh";"W";
"08/05/2026 - 20:45:00";"08/05/2026 - 21:00:00";"0.592600";"kWh";"W";
"08/05/2026 - 21:00:00";"08/05/2026 - 21:15:00";"0.291700";"kWh";"W";
"08/05/2026 - 21:15:00";"08/05/2026 - 21:30:00";"0.148900";"kWh";"W";
"08/05/2026 - 21:30:00";"08/05/2026 - 21:45:00";"0.100900";"kWh";"W";
"08/05/2026 - 21:45:00";"08/05/2026 - 22:00:00";"0.098600";"kWh";"W";
"08/05/2026 - 22:00:00";"08/05/2026 - 22:15:00";"0.253000";"kWh";"W";
"08/05/2026 - 22:15:00";"08/05/2026 - 22:30:00";"0.084800";"kWh";"W";
"08/05/2026 - 22:30:00";"08/05/2026 - 22:45:00";"0.054200";"kWh";"W";
"08/05/2026 - 22:45:00";"08/05/2026 - 23:00:00";"0.047900";"kWh";"W";
"08/05/2026 - 23:00:00";"08/05/2026 - 23:15:00";"0.047600";"kWh";"W";
"08/05/2026 - 23:15:00";"08/05/2026 - 23:30:00";"0.047700";"kWh";"W";
"08/05/2026 - 23:30:00";"08/05/2026 - 23:45:00";"0.046100";"kWh";"W";
"08/05/2026 - 23:45:00";"08/06/2026 - 00:00:00";"0.046500";"kWh";"W";
