﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/01/2026 - 00:00:00";"08/01/2026 - 00:15:00";"0.043700";"kWh";"W";
"08/01/2026 - 00:15:00";"08/01/2026 - 00:30:00";"0.024300";"kWh";"W";
"08/01/2026 - 00:30:00";"08/01/2026 - 00:45:00";"0.042400";"kWh";"W";
"08/01/2026 - 00:45:00";"08/01/2026 - 01:00:00";"0.060000";"kWh";"W";
"08/01/2026 - 01:00:00";"08/01/2026 - 01:15:00";"0.045900";"kWh";"W";
"08/01/2026 - 01:15:00";"08/01/2026 - 01:30:00";"0.039200";"kWh";"W";
"08/01/2026 - 01:30:00";"08/01/2026 - 01:45:00";"0.024800";"kWh";"W";
"08/01/2026 - 01:45:00";"08/01/2026 - 02:00:00";"0.041300";"kWh";"W";
"08/01/2026 - 02:00:00";"08/01/2026 - 02:15:00";"0.042700";"kWh";"W";
"08/01/2026 - 02:15:00";"08/01/2026 - 02:30:00";"0.041400";"kWh";"W";
"08/01/2026 - 02:30:00";"08/01/2026 - 02:45:00";"0.056900";"kWh";"W";
"08/01/2026 - 02:45:00";"08/01/2026 - 03:00:00";"0.063000";"kWh";"W";
"08/01/2026 - 03:00:00";"08/01/2026 - 03:15:00";"0.035800";"kWh";"W";
"08/01/2026 - 03:15:00";"08/01/2026 - 03:30:00";"0.033600";"kWh";"W";
"08/01/2026 - 03:30:00";"08/01/2026 - 03:45:00";"0.033800";"kWh";"W";
"08/01/2026 - 03:45:00";"08/01/2026 - 04:00:00";"0.033700";"kWh";"W";
"08/01/2026 - 04:00:00";"08/01/2026 - 04:15:00";"0.035200";"kWh";"W";
"08/01/2026 - 04:15:00";"08/01/2026 - 04:30:00";"0.047300";"kWh";"W";
"08/01/2026 - 04:30:00";"08/01/2026 - 04:45:00";"0.033600";"kWh";"W";
"08/01/2026 - 04:45:00";"08/01/2026 - 05:00:00";"0.033400";"kWh";"W";
"08/01/2026 - 05:00:00";"08/01/2026 - 05:15:00";"0.033100";"kWh";"W";
"08/01/2026 - 05:15:00";"08/01/2026 - 05:30:00";"0.033000";"kWh";"W";
"08/01/2026 - 05:30:00";"08/01/2026 - 05:45:00";"0.032900";"kWh";"W";
"08/01/2026 - 05:45:00";"08/01/2026 - 06:00:00";"0.031200";"kWh";"W";
"08/01/2026 - 06:00:00";"08/01/2026 - 06:15:00";"0.033400";"kWh";"W";
"08/01/2026 - 06:15:00";"08/01/2026 - 06:30:00";"0.036600";"kWh";"W";
"08/01/2026 - 06:30:00";"08/01/2026 - 06:45:00";"0.032900";"kWh";"W";
"08/01/2026 - 06:45:00";"08/01/2026 - 07:00:00";"0.025500";"kWh";"W";
"08/01/2026 - 07:00:00";"08/01/2026 - 07:15:00";"0.018300";"kWh";"W";
"08/01/2026 - 07:15:00";"08/01/2026 - 07:30:00";"0.025000";"kWh";"W";
"08/01/2026 - 07:30:00";"08/01/2026 - 07:45:00";"0.012900";"kWh";"W";
"08/01/2026 - 07:45:00";"08/01/2026 - 08:00:00";"0.009900";"kWh";"W";
"08/01/2026 - 08:00:00";"08/01/2026 - 08:15:00";"0.108100";"kWh";"W";
"08/01/2026 - 08:15:00";"08/01/2026 - 08:30:00";"0.034000";"kWh";"W";
"08/01/2026 - 08:30:00";"08/01/2026 - 08:45:00";"0.824300";"kWh";"W";
"08/01/2026 - 08:45:00";"08/01/2026 - 09:00:00";"0.590900";"kWh";"W";
"08/01/2026 - 09:00:00";"08/01/2026 - 09:15:00";"0.105600";"kWh";"W";
"08/01/2026 - 09:15:00";"08/01/2026 - 09:30:00";"0.043700";"kWh";"W";
"08/01/2026 - 09:30:00";"08/01/2026 - 09:45:00";"0.001300";"kWh";"W";
"08/01/2026 - 09:45:00";"08/01/2026 - 10:00:00";"0.002900";"kWh";"W";
"08/01/2026 - 10:00:00";"08/01/2026 - 10:15:00";"0.000300";"kWh";"W";
"08/01/2026 - 10:15:00";"08/01/2026 - 10:30:00";"0.000000";"kWh";"W";
"08/01/2026 - 10:30:00";"08/01/2026 - 10:45:00";"0.000000";"kWh";"W";
"08/01/2026 - 10:45:00";"08/01/2026 - 11:00:00";"0.397100";"kWh";"W";
"08/01/2026 - 11:00:00";"08/01/2026 - 11:15:00";"0.206300";"kWh";"W";
"08/01/2026 - 11:15:00";"08/01/2026 - 11:30:00";"0.005300";"kWh";"W";
"08/01/2026 - 11:30:00";"08/01/2026 - 11:45:00";"0.013700";"kWh";"W";
"08/01/2026 - 11:45:00";"08/01/2026 - 12:00:00";"0.002400";"kWh";"W";
"08/01/2026 - 12:00:00";"08/01/2026 - 12:15:00";"0.001100";"kWh";"W";
"08/01/2026 - 12:15:00";"08/01/2026 - 12:30:00";"0.000000";"kWh";"W";
