﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/06/2026 - 00:00:00";"08/06/2026 - 00:15:00";"0.046300";"kWh";"W";
"08/06/2026 - 00:15:00";"08/06/2026 - 00:30:00";"0.054200";"kWh";"W";
"08/06/2026 - 00:30:00";"08/06/2026 - 00:45:00";"0.054200";"kWh";"W";
"08/06/2026 - 00:45:00";"08/06/2026 - 01:00:00";"0.055600";"kWh";"W";
"08/06/2026 - 01:00:00";"08/06/2026 - 01:15:00";"0.054900";"kWh";"W";
"08/06/2026 - 01:15:00";"08/06/2026 - 01:30:00";"0.054800";"kWh";"W";
"08/06/2026 - 01:30:00";"08/06/2026 - 01:45:00";"0.054200";"kWh";"W";
"08/06/2026 - 01:45:00";"08/06/2026 - 02:00:00";"0.053300";"kWh";"W";
"08/06/2026 - 02:00:00";"08/06/2026 - 02:15:00";"0.052300";"kWh";"W";
"08/06/2026 - 02:15:00";"08/06/2026 - 02:30:00";"0.051600";"kWh";"W";
"08/06/2026 - 02:30:00";"08/06/2026 - 02:45:00";"0.053600";"kWh";"W";
"08/06/2026 - 02:45:00";"08/06/2026 - 03:00:00";"0.068800";"kWh";"W";
"08/06/2026 - 03:00:00";"08/06/2026 - 03:15:00";"0.055000";"kWh";"W";
"08/06/2026 - 03:15:00";"08/06/2026 - 03:30:00";"0.050600";"kWh";"W";
"08/06/2026 - 03:30:00";"08/06/2026 - 03:45:00";"0.050800";"kWh";"W";
"08/06/2026 - 03:45:00";"08/06/2026 - 04:00:00";"0.050400";"kWh";"W";
"08/06/2026 - 04:00:00";"08/06/2026 - 04:15:00";"0.050100";"kWh";"W";
"08/06/2026 - 04:15:00";"08/06/2026 - 04:30:00";"0.049700";"kWh";"W";
"08/06/2026 - 04:30:00";"08/06/2026 - 04:45:00";"0.049200";"kWh";"W";
"08/06/2026 - 04:45:00";"08/06/2026 - 05:00:00";"0.048200";"kWh";"W";
"08/06/2026 - 05:00:00";"08/06/2026 - 05:15:00";"0.048900";"kWh";"W";
"08/06/2026 - 05:15:00";"08/06/2026 - 05:30:00";"0.051100";"kWh";"W";
"08/06/2026 - 05:30:00";"08/06/2026 - 05:45:00";"0.051700";"kWh";"W";
"08/06/2026 - 05:45:00";"08/06/2026 - 06:00:00";"0.053600";"kWh";"W";
"08/06/2026 - 06:00:00";"08/06/2026 - 06:15:00";"0.070700";"kWh";"W";
"08/06/2026 - 06:15:00";"08/06/2026 - 06:30:00";"0.067200";"kWh";"W";
"08/06/2026 - 06:30:00";"08/06/2026 - 06:45:00";"0.052500";"kWh";"W";
"08/06/2026 - 06:45:00";"08/06/2026 - 07:00:00";"0.180800";"kWh";"W";
"08/06/2026 - 07:00:00";"08/06/2026 - 07:15:00";"0.025100";"kWh";"W";
"08/06/2026 - 07:15:00";"08/06/2026 - 07:30:00";"0.244700";"kWh";"W";
"08/06/2026 - 07:30:00";"08/06/2026 - 07:45:00";"0.045300";"kWh";"W";
"08/06/2026 - 07:45:00";"08/06/2026 - 08:00:00";"0.046300";"kWh";"W";
"08/06/2026 - 08:00:00";"08/06/2026 - 08:15:00";"0.050700";"kWh";"W";
"08/06/2026 - 08:15:00";"08/06/2026 - 08:30:00";"0.100500";"kWh";"W";
"08/06/2026 - 08:30:00";"08/06/2026 - 08:45:00";"0.004500";"kWh";"W";
"08/06/2026 - 08:45:00";"08/06/2026 - 09:00:00";"0.022200";"kWh";"W";
"08/06/2026 - 09:00:00";"08/06/2026 - 09:15:00";"0.022100";"kWh";"W";
"08/06/2026 - 09:15:00";"08/06/2026 - 09:30:00";"0.112900";"kWh";"W";
"08/06/2026 - 09:30:00";"08/06/2026 - 09:45:00";"0.115900";"kWh";"W";
