﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/14/2026 - 00:00:00";"08/14/2026 - 00:15:00";"0.063300";"kWh";"W";
"08/14/2026 - 00:15:00";"08/14/2026 - 00:30:00";"0.263300";"kWh";"W";
"08/14/2026 - 00:30:00";"08/14/2026 - 00:45:00";"0.407600";"kWh";"W";
"08/14/2026 - 00:45:00";"08/14/2026 - 01:00:00";"0.052600";"kWh";"W";
"08/14/2026 - 01:00:00";"08/14/2026 - 01:15:00";"0.041000";"kWh";"W";
"08/14/2026 - 01:15:00";"08/14/2026 - 01:30:00";"0.037900";"kWh";"W";
"08/14/2026 - 01:30:00";"08/14/2026 - 01:45:00";"0.023600";"kWh";"W";
"08/14/2026 - 01:45:00";"08/14/2026 - 02:00:00";"0.051100";"kWh";"W";
"08/14/2026 - 02:00:00";"08/14/2026 - 02:15:00";"0.039600";"kWh";"W";
"08/14/2026 - 02:15:00";"08/14/2026 - 02:30:00";"0.045900";"kWh";"W";
"08/14/2026 - 02:30:00";"08/14/2026 - 02:45:00";"0.023100";"kWh";"W";
"08/14/2026 - 02:45:00";"08/14/2026 - 03:00:00";"0.026700";"kWh";"W";
"08/14/2026 - 03:00:00";"08/14/2026 - 03:15:00";"0.028300";"kWh";"W";
"08/14/2026 - 03:15:00";"08/14/2026 - 03:30:00";"0.028400";"kWh";"W";
"08/14/2026 - 03:30:00";"08/14/2026 - 03:45:00";"0.028100";"kWh";"W";
"08/14/2026 - 03:45:00";"08/14/2026 - 04:00:00";"0.028300";"kWh";"W";
"08/14/2026 - 04:00:00";"08/14/2026 - 04:15:00";"0.027800";"kWh";"W";
"08/14/2026 - 04:15:00";"08/14/2026 - 04:30:00";"0.038800";"kWh";"W";
"08/14/2026 - 04:30:00";"08/14/2026 - 04:45:00";"0.042500";"kWh";"W";
"08/14/2026 - 04:45:00";"08/14/2026 - 05:00:00";"0.033600";"kWh";"W";
"08/14/2026 - 05:00:00";"08/14/2026 - 05:15:00";"0.031800";"kWh";"W";
"08/14/2026 - 05:15:00";"08/14/2026 - 05:30:00";"0.031000";"kWh";"W";
"08/14/2026 - 05:30:00";"08/14/2026 - 05:45:00";"0.030100";"kWh";"W";
"08/14/2026 - 05:45:00";"08/14/2026 - 06:00:00";"0.037700";"kWh";"W";
"08/14/2026 - 06:00:00";"08/14/2026 - 06:15:00";"0.028200";"kWh";"W";
"08/14/2026 - 06:15:00";"08/14/2026 - 06:30:00";"0.020200";"kWh";"W";
"08/14/2026 - 06:30:00";"08/14/2026 - 06:45:00";"0.029900";"kWh";"W";
"08/14/2026 - 06:45:00";"08/14/2026 - 07:00:00";"0.009500";"kWh";"W";
"08/14/2026 - 07:00:00";"08/14/2026 - 07:15:00";"0.002700";"kWh";"W";
"08/14/2026 - 07:15:00";"08/14/2026 - 07:30:00";"0.000000";"kWh";"W";
"08/14/2026 - 07:30:00";"08/14/2026 - 07:45:00";"0.000300";"kWh";"W";
"08/14/2026 - 07:45:00";"08/14/2026 - 08:00:00";"0.000700";"kWh";"W";
"08/14/2026 - 08:00:00";"08/14/2026 - 08:15:00";"0.000600";"kWh";"W";
"08/14/2026 - 08:15:00";"08/14/2026 - 08:30:00";"0.160200";"kWh";"W";
"08/14/2026 - 08:30:00";"08/14/2026 - 08:45:00";"0.281800";"kWh";"W";
"08/14/2026 - 08:45:00";"08/14/2026 - 09:00:00";"0.127700";"kWh";"W";
"08/14/2026 - 09:00:00";"08/14/2026 - 09:15:00";"0.015500";"kWh";"W";
"08/14/2026 - 09:15:00";"08/14/2026 - 09:30:00";"0.129500";"kWh";"W";
"08/14/2026 - 09:30:00";"08/14/2026 - 09:45:00";"0.000000";"kWh";"W";
"08/14/2026 - 09:45:00";"08/14/2026 - 10:00:00";"0.001600";"kWh";"W";
"08/14/2026 - 10:00:00";"08/14/2026 - 10:15:00";"0.000400";"kWh";"W";
"08/14/2026 - 10:15:00";"08/14/2026 - 10:30:00";"0.000000";"kWh";"W";
"08/14/2026 - 10:30:00";"08/14/2026 - 10:45:00";"0.000000";"kWh";"W";
"08/14/2026 - 10:45:00";"08/14/2026 - 11:00:00";"0.074100";"kWh";"W";
"08/14/2026 - 11:00:00";"08/14/2026 - 11:15:00";"0.514900";"kWh";"W";
"08/14/2026 - 11:15:00";"08/14/2026 - 11:30:00";"0.442200";"kWh";"W";
"08/14/2026 - 11:30:00";"08/14/2026 - 11:45:00";"0.434400";"kWh";"W";
"08/14/2026 - 11:45:00";"08/14/2026 - 12:00:00";"0.398700";"kWh";"W";
"08/14/2026 - 12:00:00";"08/14/2026 - 12:15:00";"0.000300";"kWh";"W";
"08/14/2026 - 12:15:00";"08/14/2026 - 12:30:00";"0.000100";"kWh";"W";
"08/14/2026 - 12:30:00";"08/14/2026 - 12:45:00";"0.000200";"kWh";"W";
"08/14/2026 - 12:45:00";"08/14/2026 - 13:00:00";"0.134100";"kWh";"W";
"08/14/2026 - 13:00:00";"08/14/2026 - 13:15:00";"0.221800";"kWh";"W";
"08/14/2026 - 13:15:00";"08/14/2026 - 13:30:00";"0.339300";"kWh";"W";
"08/14/2026 - 13:30:00";"08/14/2026 - 13:45:00";"0.002500";"kWh";"W";
"08/14/2026 - 13:45:00";"08/14/2026 - 14:00:00";"0.004400";"kWh";"W";
"08/14/2026 - 14:00:00";"08/14/2026 - 14:15:00";"0.005300";"kWh";"W";
"08/14/2026 - 14:15:00";"08/14/2026 - 14:30:00";"0.075000";"kWh";"W";
"08/14/2026 - 14:30:00";"08/14/2026 - 14:45:00";"0.828400";"kWh";"W";
"08/14/2026 - 14:45:00";"08/14/2026 - 15:00:00";"0.491800";"kWh";"W";
"08/14/2026 - 15:00:00";"08/14/2026 - 15:15:00";"0.479200";"kWh";"W";
