﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/10/2026 - 00:00:00";"08/10/2026 - 00:15:00";"0.023800";"kWh";"W";
"08/10/2026 - 00:15:00";"08/10/2026 - 00:30:00";"0.023900";"kWh";"W";
"08/10/2026 - 00:30:00";"08/10/2026 - 00:45:00";"0.023600";"kWh";"W";
"08/10/2026 - 00:45:00";"08/10/2026 - 01:00:00";"0.026600";"kWh";"W";
"08/10/2026 - 01:00:00";"08/10/2026 - 01:15:00";"0.029600";"kWh";"W";
"08/10/2026 - 01:15:00";"08/10/2026 - 01:30:00";"0.016200";"kWh";"W";
"08/10/2026 - 01:30:00";"08/10/2026 - 01:45:00";"0.023600";"kWh";"W";
"08/10/2026 - 01:45:00";"08/10/2026 - 02:00:00";"0.024100";"kWh";"W";
"08/10/2026 - 02:00:00";"08/10/2026 - 02:15:00";"0.024000";"kWh";"W";
"08/10/2026 - 02:15:00";"08/10/2026 - 02:30:00";"0.023800";"kWh";"W";
"08/10/2026 - 02:30:00";"08/10/2026 - 02:45:00";"0.023100";"kWh";"W";
"08/10/2026 - 02:45:00";"08/10/2026 - 03:00:00";"0.023400";"kWh";"W";
"08/10/2026 - 03:00:00";"08/10/2026 - 03:15:00";"0.023300";"kWh";"W";
"08/10/2026 - 03:15:00";"08/10/2026 - 03:30:00";"0.023500";"kWh";"W";
"08/10/2026 - 03:30:00";"08/10/2026 - 03:45:00";"0.023700";"kWh";"W";
"08/10/2026 - 03:45:00";"08/10/2026 - 04:00:00";"0.024100";"kWh";"W";
"08/10/2026 - 04:00:00";"08/10/2026 - 04:15:00";"0.024000";"kWh";"W";
"08/10/2026 - 04:15:00";"08/10/2026 - 04:30:00";"0.025600";"kWh";"W";
"08/10/2026 - 04:30:00";"08/10/2026 - 04:45:00";"0.029000";"kWh";"W";
"08/10/2026 - 04:45:00";"08/10/2026 - 05:00:00";"0.016400";"kWh";"W";
"08/10/2026 - 05:00:00";"08/10/2026 - 05:15:00";"0.023900";"kWh";"W";
"08/10/2026 - 05:15:00";"08/10/2026 - 05:30:00";"0.023800";"kWh";"W";
"08/10/2026 - 05:30:00";"08/10/2026 - 05:45:00";"0.023800";"kWh";"W";
"08/10/2026 - 05:45:00";"08/10/2026 - 06:00:00";"0.023500";"kWh";"W";
"08/10/2026 - 06:00:00";"08/10/2026 - 06:15:00";"0.022500";"kWh";"W";
"08/10/2026 - 06:15:00";"08/10/2026 - 06:30:00";"0.019200";"kWh";"W";
"08/10/2026 - 06:30:00";"08/10/2026 - 06:45:00";"0.017500";"kWh";"W";
