﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/15/2026 - 00:00:00";"08/15/2026 - 00:15:00";"0.052800";"kWh";"W";
"08/15/2026 - 00:15:00";"08/15/2026 - 00:30:00";"0.050300";"kWh";"W";
"08/15/2026 - 00:30:00";"08/15/2026 - 00:45:00";"0.041500";"kWh";"W";
"08/15/2026 - 00:45:00";"08/15/2026 - 01:00:00";"0.034800";"kWh";"W";
"08/15/2026 - 01:00:00";"08/15/2026 - 01:15:00";"0.032400";"kWh";"W";
"08/15/2026 - 01:15:00";"08/15/2026 - 01:30:00";"0.028100";"kWh";"W";
"08/15/2026 - 01:30:00";"08/15/2026 - 01:45:00";"0.034700";"kWh";"W";
"08/15/2026 - 01:45:00";"08/15/2026 - 02:00:00";"0.040300";"kWh";"W";
"08/15/2026 - 02:00:00";"08/15/2026 - 02:15:00";"0.039300";"kWh";"W";
"08/15/2026 - 02:15:00";"08/15/2026 - 02:30:00";"0.039100";"kWh";"W";
"08/15/2026 - 02:30:00";"08/15/2026 - 02:45:00";"0.040300";"kWh";"W";
"08/15/2026 - 02:45:00";"08/15/2026 - 03:00:00";"0.041300";"kWh";"W";
"08/15/2026 - 03:00:00";"08/15/2026 - 03:15:00";"0.042800";"kWh";"W";
"08/15/2026 - 03:15:00";"08/15/2026 - 03:30:00";"0.042100";"kWh";"W";
"08/15/2026 - 03:30:00";"08/15/2026 - 03:45:00";"0.041700";"kWh";"W";
"08/15/2026 - 03:45:00";"08/15/2026 - 04:00:00";"0.040600";"kWh";"W";
"08/15/2026 - 04:00:00";"08/15/2026 - 04:15:00";"0.049300";"kWh";"W";
"08/15/2026 - 04:15:00";"08/15/2026 - 04:30:00";"0.046100";"kWh";"W";
"08/15/2026 - 04:30:00";"08/15/2026 - 04:45:00";"0.035000";"kWh";"W";
"08/15/2026 - 04:45:00";"08/15/2026 - 05:00:00";"0.022400";"kWh";"W";
"08/15/2026 - 05:00:00";"08/15/2026 - 05:15:00";"0.035700";"kWh";"W";
"08/15/2026 - 05:15:00";"08/15/2026 - 05:30:00";"0.035800";"kWh";"W";
"08/15/2026 - 05:30:00";"08/15/2026 - 05:45:00";"0.035700";"kWh";"W";
"08/15/2026 - 05:45:00";"08/15/2026 - 06:00:00";"0.034300";"kWh";"W";
"08/15/2026 - 06:00:00";"08/15/2026 - 06:15:00";"0.025100";"kWh";"W";
"08/15/2026 - 06:15:00";"08/15/2026 - 06:30:00";"0.028400";"kWh";"W";
"08/15/2026 - 06:30:00";"08/15/2026 - 06:45:00";"0.023300";"kWh";"W";
"08/15/2026 - 06:45:00";"08/15/2026 - 07:00:00";"0.031300";"kWh";"W";
"08/15/2026 - 07:00:00";"08/15/2026 - 07:15:00";"0.016500";"kWh";"W";
"08/15/2026 - 07:15:00";"08/15/2026 - 07:30:00";"0.007100";"kWh";"W";
"08/15/2026 - 07:30:00";"08/15/2026 - 07:45:00";"0.019600";"kWh";"W";
"08/15/2026 - 07:45:00";"08/15/2026 - 08:00:00";"0.023000";"kWh";"W";
"08/15/2026 - 08:00:00";"08/15/2026 - 08:15:00";"0.000500";"kWh";"W";
"08/15/2026 - 08:15:00";"08/15/2026 - 08:30:00";"0.000000";"kWh";"W";
"08/15/2026 - 08:30:00";"08/15/2026 - 08:45:00";"0.005500";"kWh";"W";
"08/15/2026 - 08:45:00";"08/15/2026 - 09:00:00";"0.006300";"kWh";"W";
"08/15/2026 - 09:00:00";"08/15/2026 - 09:15:00";"0.009400";"kWh";"W";
"08/15/2026 - 09:15:00";"08/15/2026 - 09:30:00";"0.192300";"kWh";"W";
"08/15/2026 - 09:30:00";"08/15/2026 - 09:45:00";"0.633300";"kWh";"W";
"08/15/2026 - 09:45:00";"08/15/2026 - 10:00:00";"0.448800";"kWh";"W";
"08/15/2026 - 10:00:00";"08/15/2026 - 10:15:00";"0.003700";"kWh";"W";
"08/15/2026 - 10:15:00";"08/15/2026 - 10:30:00";"0.005400";"kWh";"W";
"08/15/2026 - 10:30:00";"08/15/2026 - 10:45:00";"0.002900";"kWh";"W";
"08/15/2026 - 10:45:00";"08/15/2026 - 11:00:00";"0.010300";"kWh";"W";
"08/15/2026 - 11:00:00";"08/15/2026 - 11:15:00";"0.372900";"kWh";"W";
"08/15/2026 - 11:15:00";"08/15/2026 - 11:30:00";"0.047400";"kWh";"W";
"08/15/2026 - 11:30:00";"08/15/2026 - 11:45:00";"0.000000";"kWh";"W";
"08/15/2026 - 11:45:00";"08/15/2026 - 12:00:00";"0.000000";"kWh";"W";
"08/15/2026 - 12:00:00";"08/15/2026 - 12:15:00";"0.151200";"kWh";"W";
"08/15/2026 - 12:15:00";"08/15/2026 - 12:30:00";"0.403400";"kWh";"W";
"08/15/2026 - 12:30:00";"08/15/2026 - 12:45:00";"0.309600";"kWh";"W";
"08/15/2026 - 12:45:00";"08/15/2026 - 13:00:00";"0.000000";"kWh";"W";
"08/15/2026 - 13:00:00";"08/15/2026 - 13:15:00";"0.365300";"kWh";"W";
"08/15/2026 - 13:15:00";"08/15/2026 - 13:30:00";"0.378500";"kWh";"W";
"08/15/2026 - 13:30:00";"08/15/2026 - 13:45:00";"0.768000";"kWh";"W";
"08/15/2026 - 13:45:00";"08/15/2026 - 14:00:00";"0.386500";"kWh";"W";
"08/15/2026 - 14:00:00";"08/15/2026 - 14:15:00";"0.064300";"kWh";"W";
"08/15/2026 - 14:15:00";"08/15/2026 - 14:30:00";"0.287300";"kWh";"W";
"08/15/2026 - 14:30:00";"08/15/2026 - 14:45:00";"0.123300";"kWh";"W";
"08/15/2026 - 14:45:00";"08/15/2026 - 15:00:00";"0.038600";"kWh";"W";
"08/15/2026 - 15:00:00";"08/15/2026 - 15:15:00";"0.083100";"kWh";"W";
"08/15/2026 - 15:15:00";"08/15/2026 - 15:30:00";"0.663400";"kWh";"W";
"08/15/2026 - 15:30:00";"08/15/2026 - 15:45:00";"0.206600";"kWh";"W";
"08/15/2026 - 15:45:00";"08/15/2026 - 16:00:00";"0.045200";"kWh";"W";
"08/15/2026 - 16:00:00";"08/15/2026 - 16:15:00";"0.017900";"kWh";"W";
"08/15/2026 - 16:15:00";"08/15/2026 - 16:30:00";"0.038600";"kWh";"W";
"08/15/2026 - 16:30:00";"08/15/2026 - 16:45:00";"0.242200";"kWh";"W";
