﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/13/2026 - 00:00:00";"08/13/2026 - 00:15:00";"0.023800";"kWh";"W";
"08/13/2026 - 00:15:00";"08/13/2026 - 00:30:00";"0.023500";"kWh";"W";
"08/13/2026 - 00:30:00";"08/13/2026 - 00:45:00";"0.023400";"kWh";"W";
"08/13/2026 - 00:45:00";"08/13/2026 - 01:00:00";"0.023000";"kWh";"W";
"08/13/2026 - 01:00:00";"08/13/2026 - 01:15:00";"0.022900";"kWh";"W";
"08/13/2026 - 01:15:00";"08/13/2026 - 01:30:00";"0.022600";"kWh";"W";
"08/13/2026 - 01:30:00";"08/13/2026 - 01:45:00";"0.016500";"kWh";"W";
"08/13/2026 - 01:45:00";"08/13/2026 - 02:00:00";"0.021500";"kWh";"W";
"08/13/2026 - 02:00:00";"08/13/2026 - 02:15:00";"0.023700";"kWh";"W";
"08/13/2026 - 02:15:00";"08/13/2026 - 02:30:00";"0.023400";"kWh";"W";
"08/13/2026 - 02:30:00";"08/13/2026 - 02:45:00";"0.023400";"kWh";"W";
"08/13/2026 - 02:45:00";"08/13/2026 - 03:00:00";"0.023100";"kWh";"W";
"08/13/2026 - 03:00:00";"08/13/2026 - 03:15:00";"0.023000";"kWh";"W";
"08/13/2026 - 03:15:00";"08/13/2026 - 03:30:00";"0.021400";"kWh";"W";
"08/13/2026 - 03:30:00";"08/13/2026 - 03:45:00";"0.016200";"kWh";"W";
"08/13/2026 - 03:45:00";"08/13/2026 - 04:00:00";"0.023600";"kWh";"W";
"08/13/2026 - 04:00:00";"08/13/2026 - 04:15:00";"0.023700";"kWh";"W";
"08/13/2026 - 04:15:00";"08/13/2026 - 04:30:00";"0.023300";"kWh";"W";
"08/13/2026 - 04:30:00";"08/13/2026 - 04:45:00";"0.023200";"kWh";"W";
"08/13/2026 - 04:45:00";"08/13/2026 - 05:00:00";"0.022900";"kWh";"W";
"08/13/2026 - 05:00:00";"08/13/2026 - 05:15:00";"0.022700";"kWh";"W";
"08/13/2026 - 05:15:00";"08/13/2026 - 05:30:00";"0.040900";"kWh";"W";
"08/13/2026 - 05:30:00";"08/13/2026 - 05:45:00";"0.054300";"kWh";"W";
"08/13/2026 - 05:45:00";"08/13/2026 - 06:00:00";"0.032500";"kWh";"W";
"08/13/2026 - 06:00:00";"08/13/2026 - 06:15:00";"0.023000";"kWh";"W";
"08/13/2026 - 06:15:00";"08/13/2026 - 06:30:00";"0.020700";"kWh";"W";
"08/13/2026 - 06:30:00";"08/13/2026 - 06:45:00";"0.013800";"kWh";"W";
"08/13/2026 - 06:45:00";"08/13/2026 - 07:00:00";"0.007900";"kWh";"W";
"08/13/2026 - 07:00:00";"08/13/2026 - 07:15:00";"0.002200";"kWh";"W";
"08/13/2026 - 07:15:00";"08/13/2026 - 07:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 07:30:00";"08/13/2026 - 07:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 07:45:00";"08/13/2026 - 08:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 08:00:00";"08/13/2026 - 08:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 08:15:00";"08/13/2026 - 08:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 08:30:00";"08/13/2026 - 08:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 08:45:00";"08/13/2026 - 09:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 09:00:00";"08/13/2026 - 09:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 09:15:00";"08/13/2026 - 09:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 09:30:00";"08/13/2026 - 09:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 09:45:00";"08/13/2026 - 10:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 10:00:00";"08/13/2026 - 10:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 10:15:00";"08/13/2026 - 10:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 10:30:00";"08/13/2026 - 10:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 10:45:00";"08/13/2026 - 11:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 11:00:00";"08/13/2026 - 11:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 11:15:00";"08/13/2026 - 11:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 11:30:00";"08/13/2026 - 11:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 11:45:00";"08/13/2026 - 12:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 12:00:00";"08/13/2026 - 12:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 12:15:00";"08/13/2026 - 12:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 12:30:00";"08/13/2026 - 12:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 12:45:00";"08/13/2026 - 13:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 13:00:00";"08/13/2026 - 13:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 13:15:00";"08/13/2026 - 13:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 13:30:00";"08/13/2026 - 13:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 13:45:00";"08/13/2026 - 14:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 14:00:00";"08/13/2026 - 14:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 14:15:00";"08/13/2026 - 14:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 14:30:00";"08/13/2026 - 14:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 14:45:00";"08/13/2026 - 15:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 15:00:00";"08/13/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 15:15:00";"08/13/2026 - 15:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 15:30:00";"08/13/2026 - 15:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 15:45:00";"08/13/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 16:00:00";"08/13/2026 - 16:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 16:15:00";"08/13/2026 - 16:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 16:30:00";"08/13/2026 - 16:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 16:45:00";"08/13/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 17:00:00";"08/13/2026 - 17:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 17:15:00";"08/13/2026 - 17:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 17:30:00";"08/13/2026 - 17:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 17:45:00";"08/13/2026 - 18:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 18:00:00";"08/13/2026 - 18:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 18:15:00";"08/13/2026 - 18:30:00";"0.000000";"kWh";"W";
"08/13/2026 - 18:30:00";"08/13/2026 - 18:45:00";"0.000000";"kWh";"W";
"08/13/2026 - 18:45:00";"08/13/2026 - 19:00:00";"0.000000";"kWh";"W";
"08/13/2026 - 19:00:00";"08/13/2026 - 19:15:00";"0.000000";"kWh";"W";
"08/13/2026 - 19:15:00";"08/13/2026 - 19:30:00";"0.000100";"kWh";"W";
"08/13/2026 - 19:30:00";"08/13/2026 - 19:45:00";"0.005300";"kWh";"W";
"08/13/2026 - 19:45:00";"08/13/2026 - 20:00:00";"0.011400";"kWh";"W";
"08/13/2026 - 20:00:00";"08/13/2026 - 20:15:00";"0.007400";"kWh";"W";
"08/13/2026 - 20:15:00";"08/13/2026 - 20:30:00";"0.019200";"kWh";"W";
"08/13/2026 - 20:30:00";"08/13/2026 - 20:45:00";"0.023200";"kWh";"W";
"08/13/2026 - 20:45:00";"08/13/2026 - 21:00:00";"0.023500";"kWh";"W";
"08/13/2026 - 21:00:00";"08/13/2026 - 21:15:00";"0.023500";"kWh";"W";
"08/13/2026 - 21:15:00";"08/13/2026 - 21:30:00";"0.023200";"kWh";"W";
"08/13/2026 - 21:30:00";"08/13/2026 - 21:45:00";"0.698100";"kWh";"W";
"08/13/2026 - 21:45:00";"08/13/2026 - 22:00:00";"0.946600";"kWh";"W";
"08/13/2026 - 22:00:00";"08/13/2026 - 22:15:00";"0.070600";"kWh";"W";
"08/13/2026 - 22:15:00";"08/13/2026 - 22:30:00";"0.138400";"kWh";"W";
